Var1,Horizontal distance,Vertical distance,Width,Height,Area,x_center,y_center,width_pix,height_pix,area_pix,Right_Horizontal distance,Right_Vertical distance,Right_Width,Right_Height,Right_Area,Right_x_center,Right_y_center,Right_width_pix,Right_height_pix,Right_area_pix
SV009,16.03,1.07,4.34,4.83,16.45,1027.62,68.01,276.25,307.5,66717.12,14.57,2.84,4.77,6.26,23.46,932.62,181.13,303.75,398.75,95127.67
SV012,16.16,1.1,4.95,5.86,22.78,1035.74,70.09,315,373.33,92362.82,16.07,0.48,5.23,5.52,22.7,1029.91,30.74,333.33,351.67,92066.12
SV013,12.99,2.03,5.84,5.69,26.09,830.95,129.05,372.08,362.08,105812.9,12.71,1.13,3.75,5.31,15.63,812.62,71.76,238.75,338,63379.67
SV017,14.9,1.06,3,4.02,9.48,953.87,67.76,191.25,256,38453.09,14.93,1.21,3.06,3.66,8.81,955.74,76.76,195,233.33,35735.62
SV018,15.29,1.23,6.48,5.77,29.36,979.49,78.01,412.5,367.5,119061.45,14.39,1.4,5.2,6.75,27.55,921.16,89.26,330.83,430,111729.43
SV019,13.95,2.24,3.16,4.42,10.98,892.62,142.59,201.25,281.67,44520.62,13.28,2.4,3.01,3.21,7.6,849.07,152.8,191.67,204.58,30796.88
SV020,13.69,3.65,4.7,5.54,20.44,875.74,232.26,299,353,82896.42,15.4,2.7,4.34,5.26,17.92,986.37,171.76,276.25,335,72683.69
SV021,13.77,0.98,4.53,4.68,16.66,880.74,62.5,288.33,298.33,67559.51,14.12,1.65,4.53,4.83,17.2,903.87,105,288.75,307.5,69735.99
SV022,16.26,2.77,4.58,2.64,9.51,1042.41,176.67,291.67,168.33,38560.87,16.29,3.51,4.58,4,14.41,1044.07,223.34,291.67,255,58413.99
SV023,14.41,0.89,5.99,5.47,25.72,922.62,56.67,381.25,348.33,104302.51,15.27,0.92,4.63,5.73,20.85,978.24,58.34,295,365,84567.75
SV024,15.31,1.08,4.79,6.07,22.82,980.74,68.97,305,386.25,92524.81,15.68,0.84,6.02,6.78,32.04,1004.91,53.34,383.33,431.67,129961.58
SV025,14.16,1.44,5.83,5.94,27.2,906.37,91.67,371.25,378.33,110314.08,15.03,0.5,6.36,6.62,33.07,962.41,31.67,405,421.67,134126.37
SV026,15.94,2.67,4.55,4.95,17.69,1021.57,170.01,290,315,71746.12,16.12,2.76,5.34,5.55,23.27,1033.24,175.84,340,353.33,94352.5
SV027,15.73,0.22,2.38,3.66,6.86,1008.16,14.16,151.83,233.33,27824.91,16.46,2.81,3.48,3.47,9.49,1054.99,178.97,221.5,221.25,38489.91
SV028,15.06,0.31,5.69,6.24,27.9,964.49,19.59,362.5,397.5,113170.97,16.06,1.69,5.57,6.89,30.16,1029.07,107.72,355,438.75,122330.67
SV029,15.58,3.15,5.1,6.91,27.69,998.24,200.84,325,440,112311.94,15.63,2.26,4.77,6.44,24.12,1001.37,144.17,303.75,410,97811.52
SV030,14.67,1.19,6.7,7.99,42.05,939.33,75.78,426.59,509.13,170579.34,15.69,0.55,6.8,7.65,40.85,1005.42,34.85,433.06,487.17,165695.6
SV031,15.67,2.51,5.35,5.43,22.79,1003.71,160.03,340.57,345.48,92409.1,16.7,1.89,7.44,6.78,39.63,1070.86,120.16,473.81,431.98,160752.12
SV032,14.85,1.64,3.7,3.57,10.38,950.66,104.54,235.56,227.53,42095.4,14.45,2.05,2.68,3,6.33,925.22,130.76,170.79,191.34,25665.96
SV033,17.82,0.87,5.76,6.08,27.48,1143.68,55.6,366.64,387,111438.9,15.57,1.73,6.59,5.11,26.46,997.52,110.15,419.78,325.5,107315.02
Mean,15.11,1.61,4.87,5.29,21.02,967.94,102.24,310.18,336.78,85233.15,15.22,1.77,4.91,5.44,22.08,974.93,112.43,312.55,346.57,89536.9
Standard deviation,1.12,0.94,1.16,1.23,8.8,72.29,60.16,73.59,78.65,35706.32,1.05,0.89,1.32,1.38,10.1,67.99,56.75,83.96,87.63,40969.4
