subject_id,location,pcommon,sigma_v,sigma_a,sigma_p,mu_p,dU,dD,error,bic,r2,strategy,fit_type
SV009,blindspot,0.3466990018256258,1.9242029083175345,0.2538983132368169,2.1641306692293685,0.3711814679266927,0,0,126.56701487009552,280.53722435690105,0.9699662445011168,Averaging,mll
SV012,blindspot,0.588934592724969,2.957184620507101,0.2420158910369532,2.993957520443737,2.459226505459625,0,0,80.53405246020593,188.4712995371218,0.95959300292396,Selection,mll
SV013,blindspot,0.6918770913745358,2.594493317846871,0.2358935069708709,1.0657794564434393,1.8456838306663352,0,0,74.50651299910783,176.4162206149256,0.9841547963581596,Averaging,mll
SV017,blindspot,0.0072536140823357,1.5197063881556168,0.1746392222295497,0.7851289083044314,1.3599756999490191,0,0,82.17870807688293,191.7606107704758,0.9490314481519874,Averaging,mll
SV018,blindspot,0.9594117700905236,2.995322373303736,0.1780941694048731,1.149896609672424,2.695417242859766,0,0,32.289838801835806,91.98287222038157,0.9986438928571262,Matching,mll
SV019,blindspot,0.1393696969954893,2.9955835753363185,0.1164638931703982,0.5676710031837291,1.6771538145273974,0,0,18.277148975862787,63.957492568435526,0.9988068743834966,Selection,mll
SV020,blindspot,0.6634110906634191,1.8877873435325607,0.2559423965559488,1.0664872793117883,1.9789258943946133,0,0,72.09557923436014,171.59435308543024,0.9909585788725364,Averaging,mll
SV021,blindspot,0.9068122173878996,2.71201957232858,0.1334540606276211,1.8048004876953168,2.8088420971794874,0,0,37.99559448695638,103.39438359062272,0.998386951053455,Averaging,mll
SV022,blindspot,0.2919883569276551,2.949074758671113,0.22707971122121,1.220348974891057,1.894321634802247,0,0,91.92862823028467,211.26045107727933,0.9869372972328878,Matching,mll
SV023,blindspot,0.9309425955537436,1.3923605620111077,0.2156866044904257,1.7512170849641346,2.3476920907023784,0,0,62.88486777911407,153.1729301749381,0.9896373406266824,Averaging,mll
SV024,blindspot,0.3134501479653504,2.904040873962762,0.2042838019399403,1.0414471741643236,1.957814840941248,0,0,47.11622208581037,121.6356387883307,0.996385253012058,Averaging,mll
SV025,blindspot,0.2225696723043027,2.302427617671856,0.1188122704040081,1.034764205577759,2.007164966810284,0,0,68.59145435237404,164.58610332145804,0.9846762703589425,Matching,mll
SV026,blindspot,0.617106839933946,1.746348079669395,0.2439391345626501,0.4498393902495726,2.4017918959135174,0,0,48.78931096434347,124.9818165453969,0.9887500213219332,Selection,mll
SV027,blindspot,0.2089200547582438,2.2087318712803423,0.2165292080171973,1.5118300649189322,0.5003281902156376,0,0,94.542883318482,216.48896125367395,0.9772824032782684,Selection,mll
SV028,blindspot,0.5786170850251089,2.6128776898340327,0.500924764264443,1.0818979739900818,1.8622145520361155,0,0,105.62800294132929,238.65920049936847,0.97979906270019,Averaging,mll
SV029,blindspot,0.4331990878366508,2.151502465493317,0.2143710897256308,0.7856173421853935,2.103243321896272,0,0,48.07349417501172,123.5501829667334,0.9959747201077584,Selection,mll
SV030,blindspot,0.7299668967158875,2.2333634503940694,0.1170187514548409,0.5580260298184987,2.284294745276513,0,0,28.39154450760298,84.18628363191591,0.9987200277252812,Matching,mll
SV031,blindspot,0.6446651863895337,1.8880845790130856,0.2077098190524827,0.7387996466201411,2.299000420273856,0,0,53.17669647081589,133.75658755834172,0.9926720161397626,Selection,mll
SV032,blindspot,0.134637375034658,2.7303318945551704,0.1200636223134042,0.847776416612311,1.4325068937055432,0,0,65.98644600637957,159.37608662946909,0.993213882884718,Selection,mll
SV033,blindspot,0.5808114695266949,1.710770685359194,0.1696625491298053,1.1206866761832912,1.7811669321822192,0,0,89.26200807776107,205.9272107722321,0.9913886548432344,Averaging,mll
SV009,control,0.5100621308707566,1.2864233120302428,0.2356289494439051,0.990142687281228,2.796172769443296,0,0,78.94756469348039,185.29832400367076,0.9656347525529528,Selection,mll
SV012,control,0.8507165088089538,0.855061492779391,0.1275131936066907,1.174105640843734,3.484699034415516,0,0,44.17691979261901,115.75703420194796,0.992392320105396,Matching,mll
SV013,control,0.8868194785277929,0.586237850940709,0.202644848700169,0.6309494406537539,1.9405105937973413,0,0,49.89025857242249,127.18371176155492,0.9948884976690842,Averaging,mll
SV017,control,0.1457427745267201,1.696821139615167,0.1153698418195495,0.6548266197449476,1.9104610239252904,0,0,17.301859321477025,62.006913259664,0.9994146433942368,Selection,mll
SV018,control,0.8941013688435766,0.6716796115917244,0.1750484703473354,0.7744727339189541,3.2545599119200594,0,0,28.3360453527703,84.07528532225055,0.9992433372001926,Selection,mll
SV019,control,0.2346556390882131,2.5263042704601197,0.1878091482550187,0.7095657270845315,1.834782085239172,0,0,22.662623397125657,72.72844141096127,0.998497930833173,Selection,mll
SV020,control,0.8174866369487834,1.4666632815557563,0.1919889933063099,0.8661556925827306,2.31107643870389,0,0,68.80686142759208,165.01691747189412,0.9902005212382016,Matching,mll
SV021,control,0.9742408203469112,0.732749423337267,0.1757361444084542,0.9038789699133872,3.436224989574012,0,0,30.28098961910754,87.96517385492504,0.9988316800503436,Averaging,mll
SV022,control,0.4796467242820146,2.8108823854645943,0.2096243983645919,1.1548491494665665,2.3006953878710235,0,0,69.7521687093453,166.90753203540055,0.9963345404892432,Averaging,mll
SV023,control,0.9788160239341296,1.2970424504659956,0.2083805417713738,1.5046235976399458,2.978112330853176,0,0,56.699757303128735,140.80270922296742,0.9919043507499046,Matching,mll
SV024,control,0.2444208701285201,1.0641423113361028,0.2398747916921895,0.4211029923426325,2.360955055671534,0,0,51.1301083897728,129.66341139625555,0.9834494865008134,Averaging,mll
SV025,control,0.3648927543193129,0.9465150671567002,0.1506338883828755,0.7054151276618633,2.035064521329129,0,0,56.83476284740815,141.07272031152627,0.9664787535770664,Averaging,mll
SV026,control,0.9867112544662658,0.4556438217540092,0.1725622579410127,0.4277220983729406,2.3841248567687137,0,0,29.350317930352325,86.1038304774146,0.9990028323592316,Selection,mll
SV027,control,0.0628063100597914,1.547615728928653,0.2338414656896146,1.5518518959672236,0.0198207357469369,0,0,105.9582688926917,239.31973240209336,0.9690003643084588,Matching,mll
SV028,control,0.6186575997075878,2.285518096114106,0.3826195163887471,0.8708926095773448,2.198647791971394,0,0,96.65550545761002,220.71420553193,0.9531830491823932,Matching,mll
SV029,control,0.2135624256622435,2.3178197599933537,0.2638770947017277,0.8459145066175956,2.1722250465368136,0,0,53.45210182534052,134.307398267391,0.9972020515878492,Averaging,mll
SV030,control,0.6460447826083009,0.6994358121187096,0.1439721267796425,0.573562905001789,2.184417885548944,0,0,40.10383921488012,107.6108730464702,0.9713927790262568,Averaging,mll
SV031,control,0.9725547653534496,0.7186245677960043,0.127493074560366,0.4833923880839851,2.446368172303333,0,0,33.54301305533926,94.48922072738848,0.9988936074530104,Matching,mll
SV032,control,0.0504030263324661,0.7958866110105837,0.1162071409225476,0.4481213903339335,2.11278714314525,0,0,32.87204163433553,93.14727788538102,0.984191815115552,Averaging,mll
SV033,control,0.7494407418600851,1.6449332756258896,0.2211518111522341,1.0132817319791887,2.3597657914053896,0,0,73.91040181239342,175.2239982414968,0.9809683008533718,Averaging,mll
