subject_id,location,pcommon,sigma_v,sigma_a,sigma_p,mu_p,dU,dD,error,bic,r2,strategy,fit_type
SV009,blindspot,1.0,0.9895841914312292,0.8817189793492948,4000,1.5,0,0,178.84656562465867,368.6544090960013,0.5788477544752266,Averaging,mll
SV012,blindspot,1.0,0.9998359876960596,0.273318375798363,4000,1.5,0,0,106.46423326221743,223.8897443711189,0.9222601520465096,Averaging,mll
SV013,blindspot,1.0,0.8447348232320318,0.3133340986410968,4000,1.5,0,0,107.920550771328,226.80237938934,0.8115621616139607,Averaging,mll
SV017,blindspot,1.0,0.995086169683543,0.9382219895287698,4000,1.5,0,0,194.7026704604487,400.3666187675814,0.360163223837377,Averaging,mll
SV018,blindspot,1.0,0.8577862151524369,0.2164258197939269,4000,1.5,0,0,41.325003717188494,93.61128528106096,0.9698323367346784,Averaging,mll
SV019,blindspot,1.0,0.788505346539063,0.5234738605382991,4000,1.5,0,0,131.60584089737645,274.1729596414369,0.457761722076906,Averaging,mll
SV020,blindspot,1.0,0.8461088344412544,0.3318579412620582,4000,1.5,0,0,94.47592083713263,199.91311952094927,0.8642091804582369,Averaging,mll
SV021,blindspot,1.0,0.8517370762270362,0.1988091388703344,4000,1.5,0,0,42.242182066208,95.44564197909996,0.9858656518638036,Averaging,mll
SV022,blindspot,1.0,0.9377428773322364,0.4942763853456299,4000,1.5,0,0,141.52224484299376,294.0057675326715,0.6975479055515552,Averaging,mll
SV023,blindspot,1.0,0.918647654852896,0.2473791900654311,4000,1.5,0,0,66.62315993456932,144.2075977158226,0.985160008735321,Averaging,mll
SV024,blindspot,1.0,0.8112873871735804,0.4204716700899824,4000,1.5,0,0,111.53158290415816,234.0244436550003,0.6318771833999963,Averaging,mll
SV025,blindspot,1.0,0.8506818828238248,0.4117371974202333,4000,1.5,0,0,117.53161551884116,246.02450888436627,0.7224438987062707,Averaging,mll
SV026,blindspot,1.0,0.7381247401958505,0.2509576444688415,4000,1.5,0,0,67.76163749329753,146.48455283327905,0.8850289729373072,Averaging,mll
SV027,blindspot,1.0,0.999795710457896,1.8738130302707496,4000,1.5,0,0,234.70151182655,480.3643014997839,0.1492538548236309,Averaging,mll
SV028,blindspot,1.0,0.9406818727458236,0.5588101949863744,4000,1.5,0,0,145.48857719694382,301.9384322405716,0.6691226288325197,Averaging,mll
SV029,blindspot,1.0,0.7459730065130659,0.4167246497655849,4000,1.5,0,0,107.56290404897882,226.0870859446416,0.6399892596831185,Averaging,mll
SV030,blindspot,1.0,0.6872565192967208,0.2886083824065786,4000,1.5,0,0,68.07739208455891,147.1160620158018,0.8151462936356447,Averaging,mll
SV031,blindspot,1.0,0.7093463536190475,0.2513751925096185,4000,1.5,0,0,69.13549092906642,149.2322597048168,0.9169631418962492,Averaging,mll
SV032,blindspot,1.0,0.9964149380525982,1.0211606506247128,4000,1.5,0,0,196.2010299006501,403.36333764798417,0.3068371218402479,Averaging,mll
SV033,blindspot,1.0,0.9314059201686296,0.3459594895159985,4000,1.5,0,0,119.92285800036922,250.8069938474224,0.8486780917911998,Averaging,mll
SV009,control,1.0,0.7016261329601656,0.4098872423205361,4000,1.5,0,0,95.7070612925918,202.3754004318676,0.8831073684210422,Averaging,mll
SV012,control,1.0,0.5831782966964729,0.2590294712905772,4000,1.5,0,0,60.64390954516935,132.24909693702267,0.9400613285031536,Averaging,mll
SV013,control,1.0,0.5077798167795782,0.266162824587078,4000,1.5,0,0,63.13355330336124,137.22838445340645,0.942873080139013,Averaging,mll
SV017,control,1.0,0.7569766377130149,0.5132264808203676,4000,1.5,0,0,125.41848362104308,261.7982450887701,0.4734272735998968,Averaging,mll
SV018,control,1.0,0.5938695105956812,0.2275515365143124,4000,1.5,0,0,38.67560461248909,88.31248707166216,0.966248101583334,Averaging,mll
SV019,control,1.0,0.8141435258504779,0.5175763238148104,4000,1.5,0,0,134.40875004974134,279.77877794616666,0.4478359095283768,Averaging,mll
SV020,control,1.0,0.6883949124652533,0.2859436225704266,4000,1.5,0,0,80.32498629890254,171.61125044448906,0.9562328120949168,Averaging,mll
SV021,control,1.0,0.668783602260112,0.2265326126301023,4000,1.5,0,0,41.44256335299679,93.84640455267755,0.9696370763659432,Averaging,mll
SV022,control,1.0,0.7015521872206019,0.334768626358268,4000,1.5,0,0,89.741665630629,190.444609107942,0.9063296643275494,Averaging,mll
SV023,control,1.0,0.791096100049778,0.22202010086956,4000,1.5,0,0,60.48350996106643,131.92829776881683,0.9833933238832464,Averaging,mll
SV024,control,1.0,0.6114371610732917,0.3751611382681267,4000,1.5,0,0,87.02225931616215,185.00579647900827,0.8010209677076839,Averaging,mll
SV025,control,1.0,0.6519485480317634,0.3617081050023263,4000,1.5,0,0,90.64499002535348,192.2512578973909,0.8168554304892014,Averaging,mll
SV026,control,1.0,0.3937065105961507,0.188203903180523,4000,1.5,0,0,32.71936511577798,76.40000807823995,0.9931698652721848,Averaging,mll
SV027,control,1.0,0.999337059337547,1.4742770189997545,4000,1.5,0,0,214.6218428436144,440.2049635339128,0.2790106108437208,Averaging,mll
SV028,control,1.0,0.8210864635007108,0.4304489140855073,4000,1.5,0,0,118.06823557982048,247.09774900632493,0.8259795730754639,Averaging,mll
