subjID,eye,left_x,left_y,top_x,top_y,right_x,right_y,bottom_x,bottom_y,center_x,center_y,radius_hor_deg,radius_ver_deg,dist_from_fixation_deg,dist_from_hor_meridian_deg,dist_from_ver_meridian_deg,width_in_deg,height_in_deg,source_file
SV009,L,754.25917437552,1148.00917437552,892.38417437552,994.25917437552,1030.50917437552,1148.00917437552,892.38417437552,1301.75917437552,892.38417437552,1148.00917437552,2.17,2.41,16.18,16.14,1.07,4.34,4.83,SV009_na_BS.mat
SV009,R,2700.74082562448,1261.13417437552,2852.61582562448,1061.75917437552,3004.49082562448,1261.13417437552,2852.61582562448,1460.50917437552,2852.61582562448,1261.13417437552,2.39,3.13,14.92,14.65,2.84,4.77,6.26,SV009_na_BS.mat
SV012,L,726.75917437552,1150.09250770885,884.25917437552,963.425841042186,1041.75917437552,1150.09250770885,884.25917437552,1336.75917437552,884.25917437552,1150.09250770885,2.47,2.93,16.3,16.27,1.1,4.95,5.86,SV012_na_BS.mat
SV012,R,2783.24082562448,1049.25917437552,2949.90749229115,873.425841042186,3116.57415895781,1049.25917437552,2949.90749229115,1225.09250770885,2949.90749229115,1049.25917437552,2.62,2.76,16.18,16.18,0.48,5.24,5.52,SV012_na_BS.mat
SV013,L,903.00917437552,1209.05084104219,1089.05084104219,1028.00917437552,1275.09250770885,1209.05084104219,1089.05084104219,1390.09250770885,1089.05084104219,1209.05084104219,2.92,2.84,13.21,13.05,2.03,5.84,5.69,SV013_na_BS.mat
SV013,R,2613.24082562448,1151.75917437552,2732.61582562448,982.75917437552,2851.99082562448,1151.75917437552,2732.61582562448,1320.75917437552,2732.61582562448,1151.75917437552,1.87,2.65,12.81,12.76,1.13,3.75,5.31,SV013_na_BS.mat
SV017,L,870.50917437552,1147.75917437552,966.13417437552,1019.75917437552,1061.75917437552,1147.75917437552,966.13417437552,1275.75917437552,966.13417437552,1147.75917437552,1.5,2.01,15.02,14.98,1.06,3,4.02,SV017_na_BS.mat
SV017,R,2778.24082562448,1156.75917437552,2875.74082562448,1040.09250770885,2973.24082562448,1156.75917437552,2875.74082562448,1273.42584104219,2875.74082562448,1156.75917437552,1.53,1.83,15.06,15.01,1.21,3.06,3.66,SV017_na_BS.mat
SV018,L,734.25917437552,1158.00917437552,940.50917437552,974.25917437552,1146.75917437552,1158.00917437552,940.50917437552,1341.75917437552,940.50917437552,1158.00917437552,3.24,2.89,15.43,15.38,1.23,6.48,5.77,SV018_na_BS.mat
SV018,R,2675.74082562448,1169.25917437552,2841.15749229115,954.25917437552,3006.57415895781,1169.25917437552,2841.15749229115,1384.25917437552,2841.15749229115,1169.25917437552,2.6,3.38,14.54,14.47,1.4,5.2,6.75,SV018_na_BS.mat
SV019,L,926.75917437552,1222.59250770885,1027.38417437552,1081.75917437552,1128.00917437552,1222.59250770885,1027.38417437552,1363.42584104219,1027.38417437552,1222.59250770885,1.58,2.21,14.2,14.02,2.24,3.16,4.42,SV019_na_BS.mat
